ID;Var;Dormancy;Box;LT;Time;LAI;MaxLAI
A3;ANTANE;2;3;S;17;4081;4701
A4;ANTANE;2;4;S;17;4342;5487
A5;ANTANE;2;4;S;17;8499;8499
A6;ANTANE;2;4;S;17;5498;6261
A7;ANTANE;2;2;C;17;7743;7743
A8;ANTANE;2;2;C;17;9995;12447
A9;ANTANE;2;2;C;17;11379;11379
A10;ANTANE;2;1;C;17;11783;13034
A11;ANTANE;2;2;C;17;12144;12144
A12;ANTANE;2;1;C;17;5781;7236
A13;ANTANE;2;2;C;17;5247;5247
A14;ANTANE;2;3;S;17;5709;7239
A15;ANTANE;2;3;S;17;6719;7361
A16;ANTANE;2;3;S;17;3810;5873
A17;ANTANE;2;3;S;17;8185;10324
A18;ANTANE;2;2;C;17;14039;15046
A19;ANTANE;2;1;C;17;11936;14641
A20;ANTANE;2;4;S;17;4477;7004
A21;ANTANE;2;1;C;17;8185;9056
A22;ANTANE;2;1;C;17;7835;8617
A23;ANTANE;2;1;C;17;5094;5094
A24;ANTANE;2;3;S;17;6014;6790
A25;ANTANE;2;4;S;17;9514;10564
A26;ANTANE;2;2;C;17;6625;8203
A27;ANTANE;2;3;S;17;9210;9762
A28;ANTANE;2;1;C;17;6332;8521
A29;ANTANE;2;4;S;17;9560;10988
A30;ANTANE;2;4;S;17;10489;12883
M1;MARINA;7;2;C;17;6453;7199
M2;MARINA;7;3;S;17;9325;11116
M3;MARINA;7;1;C;17;5039;5678
M4;MARINA;7;3;S;17;10254;15190
M5;MARINA;7;3;S;17;6056;8140
M6;MARINA;7;2;C;17;10966;14013
M7;MARINA;7;4;S;17;5300;5639
M8;MARINA;7;1;C;17;10223;10953
M9;MARINA;7;3;S;17;6465;8958
M10;MARINA;7;3;S;17;7569;8840
M11;MARINA;7;2;C;17;8705;10879
M12;MARINA;7;1;C;17;13818;15637
M13;MARINA;7;3;S;17;4289;5193
M14;MARINA;7;1;C;17;4619;4619
M15;MARINA;7;4;S;17;6907;9103
M16;MARINA;7;4;S;17;8698;9583
M17;MARINA;7;4;S;17;9207;12312
M18;MARINA;7;4;S;17;13464;13977
M19;MARINA;7;2;C;17;3140;4247
M20;MARINA;7;1;C;17;7197;8073
M21;MARINA;7;2;C;17;9563;13224
M22;MARINA;7;4;S;17;11280;12213
M23;MARINA;7;1;C;17;10074;10556
M24;MARINA;7;3;S;17;3693;4134
M25;MARINA;7;3;S;17;7005;8037
M26;MARINA;7;2;C;17;8523;9954
M27;MARINA;7;1;C;17;11013;12508
M28;MARINA;7;2;C;17;9191;11289
M29;MARINA;7;1;C;17;9441;10029
M30;MARINA;7;4;S;17;6754;8252
B1;BARVINCE;7;1;C;17;5686;7041
B2;BARVINCE;7;1;C;17;5518;6374
B3;BARVINCE;7;3;S;17;8175;10527
B4;BARVINCE;7;3;S;17;7763;9362
B5;BARVINCE;7;3;S;17;4726;5785
B6;BARVINCE;7;2;C;17;7602;9130
B7;BARVINCE;7;3;S;17;3968;4541
B8;BARVINCE;7;2;C;17;7717;9283
B9;BARVINCE;7;4;S;17;6054;9829
B10;BARVINCE;7;3;S;17;11707;13228
B11;BARVINCE;7;2;C;17;9618;11955
B12;BARVINCE;7;3;S;17;8398;10548
B13;BARVINCE;7;1;C;17;2993;3829
B14;BARVINCE;7;2;C;17;2302;4169
B15;BARVINCE;7;2;C;17;4527;4527
B16;BARVINCE;7;4;S;17;5638;5907
B17;BARVINCE;7;4;S;17;4922;5801
B18;BARVINCE;7;1;C;17;7325;7594
B19;BARVINCE;7;1;C;17;5690;6520
B20;BARVINCE;7;4;S;17;5529;6410
B21;BARVINCE;7;1;C;17;3391;4774
B22;BARVINCE;7;3;S;17;5882;7324
B23;BARVINCE;7;2;C;17;4146;4991
B24;BARVINCE;7;4;S;17;7517;10306
B25;BARVINCE;7;2;C;17;3595;4073
B26;BARVINCE;7;4;S;17;6404;9810
B27;BARVINCE;7;4;S;17;5362;7722
B28;BARVINCE;7;1;C;17;7490;8318
B29;BARVINCE;7;4;S;17;11058;15173
B30;BARVINCE;7;3;S;17;5970;7671
L1;LUZELLE;2;4;S;20;6706;7518
L2;LUZELLE;2;2;C;20;7660;7873
L3;LUZELLE;2;1;C;20;7666;9895
L4;LUZELLE;2;2;C;20;7078;7102
L5;LUZELLE;2;3;S;20;9996;9996
L6;LUZELLE;2;3;S;20;3215;4082
L7;LUZELLE;2;3;S;20;4922;5175
L8;LUZELLE;2;3;S;20;10655;11765
L9;LUZELLE;2;4;S;20;5445;6383
L10;LUZELLE;2;1;C;20;7745;8545
L11;LUZELLE;2;3;S;20;11504;13004
L12;LUZELLE;2;4;S;20;11576;13724
L13;LUZELLE;2;2;C;20;7652;7652
L14;LUZELLE;2;2;C;20;5909;6709
L15;LUZELLE;2;4;S;20;8449;9137
L16;LUZELLE;2;4;S;20;7510;8678
L17;LUZELLE;2;2;C;20;3959;4724
L18;LUZELLE;2;2;C;20;4892;5347
L19;LUZELLE;2;4;S;20;8518;10124
L20;LUZELLE;2;2;C;20;8935;9817
L21;LUZELLE;2;1;C;20;6751;7773
L22;LUZELLE;2;2;C;20;5901;7447
L23;LUZELLE;2;4;S;20;3420;4028
L24;LUZELLE;2;1;C;20;4098;4098
L25;LUZELLE;2;1;C;20;6123;6877
L26;LUZELLE;2;4;S;20;7870;9513
L27;LUZELLE;2;3;S;20;2858;3741
L28;LUZELLE;2;3;S;20;5976;6672
L29;LUZELLE;2;1;C;20;5431;5431
L30;LUZELLE;2;1;C;20;3053;3938
A1;ANTANE;2;3;S;20;5792;6347
A2;ANTANE;2;1;C;20;8234;10077
A3;ANTANE;2;3;S;20;4282;4701
A4;ANTANE;2;4;S;20;4898;5487
A5;ANTANE;2;4;S;20;6840;8499
A6;ANTANE;2;4;S;20;6261;6261
A7;ANTANE;2;2;C;20;7175;7743
A8;ANTANE;2;2;C;20;10241;12447
A9;ANTANE;2;2;C;20;10061;11379
A10;ANTANE;2;1;C;20;10511;13034
A11;ANTANE;2;2;C;20;10823;12144
A12;ANTANE;2;1;C;20;6450;7236
A13;ANTANE;2;2;C;20;4552;5247
A14;ANTANE;2;3;S;20;5929;7239
A15;ANTANE;2;3;S;20;5662;7361
A16;ANTANE;2;3;S;20;4489;5873
A17;ANTANE;2;3;S;20;8130;10324
A18;ANTANE;2;2;C;20;13347;15046
A19;ANTANE;2;1;C;20;14331;14641
A20;ANTANE;2;4;S;20;5028;7004
A21;ANTANE;2;1;C;20;7997;9056
A22;ANTANE;2;1;C;20;7872;8617
A23;ANTANE;2;1;C;20;4272;5094
A24;ANTANE;2;3;S;20;5650;6790
A25;ANTANE;2;4;S;20;8377;10564
A26;ANTANE;2;2;C;20;7387;8203
A27;ANTANE;2;3;S;20;9762;9762
A28;ANTANE;2;1;C;20;7627;8521
A29;ANTANE;2;4;S;20;8749;10988
A30;ANTANE;2;4;S;20;11927;12883
M1;MARINA;7;2;C;20;6286;7199
M2;MARINA;7;3;S;20;9677;11116
M3;MARINA;7;1;C;20;5235;5678
M4;MARINA;7;3;S;20;12669;15190
M5;MARINA;7;3;S;20;7642;8140
M6;MARINA;7;2;C;20;12773;14013
M7;MARINA;7;4;S;20;5027;5639
M8;MARINA;7;1;C;20;9499;10953
M9;MARINA;7;3;S;20;8087;8958
M10;MARINA;7;3;S;20;7311;8840
M11;MARINA;7;2;C;20;7974;10879
